system,intended_user,trace_model,deterministic_checks,llm_graded,trajectory_support,regression_compare,ci_integration,local_offline,license,install_complexity,primary_gap_for_our_user
OpenAI Evals,prompt engineers benchmarking OpenAI models,minimal per-sample input/completion/grade; completion-function wrapper,yes (Match; string; regex),yes (YAML model-graded),weak; bolted-on completion functions,none built-in,CLI usable; not designed for CI,runs locally but calls OpenAI API,MIT repo; hosted platform deprecating Nov 2026,low (pip + Git-LFS),no trajectory policy; hosted platform sunsetting; custom code frozen
OpenAI Frontier Evals,NOT a coherent public product,n/a (benchmark code repo only),n/a,n/a,n/a,n/a,n/a,n/a,MIT (frontier-evals repo),n/a,not a comparison target; benchmark code + unrelated enterprise platform
OpenAI Agents SDK tracing,agent devs on OpenAI SDK,strong trace/span model (agent; generation; function; handoff spans),none (observability only),none,captures trajectories; does not evaluate,none,none,defaults to OpenAI backend export; replaceable processors,MIT SDK,trivial (bundled; on by default),records but never judges; vendor-backend default
Anthropic eval guidance,eval authors (conceptual guidance),transcript vs outcome concepts; no shipped schema,taxonomy: code-based graders,taxonomy: model-based graders,best conceptual treatment; warns against rigid sequence checks,concept: regression suites near 100%,none (guidance),n/a,docs (not a tool),n/a,no shipped tool; defers to third parties
Inspect AI,safety researchers; frontier labs,full eval logs per trial (messages; tool calls; scores),yes (includes; match; regex),yes (model_graded_qa),strong first-class agents + Agent Bridge,not first-class (UNVERIFIED); buildable on logs,CLI in CI; no dedicated action found,strong incl. local inference; Docker needed for agentic evals,MIT,moderate (pip; Docker for agents),heavyweight for recorded-trace checking; silent grader defaults; API churn
LangSmith,LangChain/LangGraph teams,native callbacks + OTel ingestion; ClickHouse backend,yes (custom Python/pytest),yes,agentevals: strict/unordered/subset match; no partial-order,comparison views; threshold gates,pytest/Vitest/GH workflows,cloud SaaS; self-host Enterprise-only license key,closed source,trivial SaaS; high self-host,no declarative policy; self-host gated; volume pricing
Braintrust,AI product teams,OTel-native + braintrust.* attributes; root-span UI gotcha,yes (code scorers),yes,no dedicated primitive; hooks for step scoring,explicit regression positioning,dedicated GitHub Action,hybrid only; control plane stays vendor-hosted,proprietary closed core,easy SaaS; moderate-high hybrid self-host,not air-gappable; no deterministic trajectory matcher
Langfuse,self-host-first platform teams,native SDKs + OTel backend; noisy auto-capture caveat,yes (code evaluators; score ingestion),yes (judge runs traced),none first-class; maintainer punts to DIY (discussion 5206),score analytics; depth contested,in progress (feat-evals-ci-cd issues),strong; MIT; Docker Compose; DB stack required,MIT,low local; higher HA,no trajectory policy primitive; platform not CLI; migration risk
Arize Phoenix,notebook-first devs; air-gap needs,OTel + OpenInference semconv; broadest instrumentors,yes (code-based),yes (phoenix-evals),none documented (UNVERIFIED deeper),experiments tracking; no significance stats found,CLI for coding agents; CI gate not confirmed,strongest; pip + one command; air-gapped; telemetry off switch,Elastic License 2.0 (source-available),lowest (pip + 1 command),no trajectory policy; ELv2 redistribution limits
Promptfoo,app devs and red-teamers,no first-class trace object; OTel ingestion; trajectory:* assertions,strong assertion library,yes (llm-rubric; factuality etc),coding-agent guide; exact-match tool-args (wildcard requested 9842),before/after diffs in CI,most mature GH Action (skip logic; repeat; cache),local CLI; self-host community tier,MIT core,low-moderate (Node runtime),Node-only; silent-pass threshold footguns; trajectory layered on matrix core
DeepEval,Python engineers; pytest-native,@observe() trace tree; OTel export,yes (Tool Correctness; JSON Correctness),majority of metrics,6 agentic metrics; most differentiated OSS,pytest thresholds; diff dashboards cloud-only,native pytest,core local; login optional; cloud opt-in,Apache 2.0,low (pip),judge-heavy flagship metrics; fragile templating; users request deterministic policy checks (2825)
AgentOps,agent framework devs (production),session-centric replay; time travel debugging,weakest; validators unshipped,n/a,replay visualization only; no assertions,unshipped (roadmap),unshipped (roadmap),SaaS default; self-host Enterprise-gated; SDK MIT,MIT SDK; paid tiers,low (pip),observability only; CI/regression permanently roadmap
OpenTelemetry GenAI semconv,instrumentation authors; tool builders,span/event conventions (execute_tool; invoke_agent; messages schema),n/a (a spec not a tool),n/a,structural (spans model trajectories),n/a,n/a,n/a (spec),Apache 2.0,n/a,Development status; breaking changes expected; content fields Opt-In
agent-reliability-harness v0.1,engineers testing tool-using agents,own JSON trace (steps: tool_call/model_response),yes (schema; budgets; regex safety; citation coverage),none (deterministic core),none yet (no ordering/count/retry rules in v0.1),none yet (no baseline compare in v0.1),exit codes usable in CI; no action yet,fully local; zero runtime deps; zero telemetry,MIT,lowest (pip; stdlib only),v0.1 honest gaps: no trajectory rules; no regression compare; no adapters; no JUnit/SARIF
